Date,AAPL,ADBE,AMZN,BAC,CRM,CSCO,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PG,TSLA,UNH,V,WMT,XOM
2024-01-02,184.29043579101562,580.0700073242188,149.92999267578125,32.65896987915039,254.30776977539062,48.26438522338867,89.89510345458984,137.34628295898438,332.6385192871094,47.16828155517578,152.5220184326172,166.17955017089844,57.62192153930664,418.1830139160156,344.66558837890625,366.7073974609375,468.5,48.14991760253906,164.2738494873047,143.35385131835938,248.4199981689453,528.76611328125,256.04949951171875,52.19789123535156,97.2106704711914
2024-01-03,182.91050720214844,571.7899780273438,148.47000122070312,32.30250930786133,250.04827880859375,48.639949798583984,90.82666015625,138.091796875,326.0644836425781,46.428192138671875,153.4754638671875,165.45526123046875,57.756778717041016,415.0904235839844,342.8541259765625,366.4404296875,470.260009765625,47.551143646240234,164.3118438720703,142.4864501953125,238.4499969482422,531.4033203125,255.169189453125,52.20116424560547,98.02741241455078
2024-01-04,180.58755493164062,567.0499877929688,144.57000732421875,32.56262969970703,249.45257568359375,48.22587203979492,89.74644470214844,135.57688903808594,326.382568359375,46.250572204589844,153.15127563476562,166.55325317382812,57.56412887573242,416.08160400390625,345.49169921875,363.8102722167969,474.6700134277344,47.979984283447266,162.90576171875,143.26710510253906,237.92999267578125,534.726806640625,256.78143310546875,51.6965217590332,97.17269134521484
2024-01-05,179.8628387451172,564.5999755859375,145.24000549316406,33.16956329345703,249.33340454101562,48.23550033569336,90.0833969116211,134.92083740234375,330.57574462890625,46.27030563354492,153.6280059814453,167.38888549804688,57.47743225097656,415.7347106933594,350.2990417480469,363.6224060058594,474.05999755859375,49.07856750488281,160.50213623046875,142.08163452148438,237.49000549316406,526.844482421875,256.8605651855469,51.35245132446289,97.46708679199219
2024-01-08,184.21099853515625,580.5499877929688,149.10000610351562,32.90945053100586,259.0140380859375,48.591800689697266,90.72755432128906,138.0122833251953,335.3857727050781,47.8096923828125,154.0093994140625,167.14596557617188,57.90126419067383,418.93145751953125,356.97760009765625,370.48455810546875,485.0299987792969,52.23337936401367,160.66363525390625,143.3056640625,240.4499969482422,526.0013427734375,259.6795349121094,51.857086181640625,95.84310913085938
2024-01-09,183.79405212402344,586.2000122070312,151.3699951171875,32.39884948730469,259.480712890625,48.06216049194336,88.86444091796875,140.10972595214844,333.70855712890625,47.41497802734375,154.10472106933594,165.82447814941406,57.79530715942383,419.5469970703125,355.7532958984375,371.5721740722656,482.0899963378906,53.120052337646484,158.82054138183594,143.89356994628906,234.9600067138672,527.8151245117188,260.46087646484375,52.204444885253906,94.65599822998047
2024-01-10,184.83641052246094,591.030029296875,153.72999572753906,32.36994934082031,262.2508544921875,48.379947662353516,88.48785400390625,141.43177795410156,343.93603515625,46.842647552490234,154.33352661132812,166.17430114746094,57.98796081542969,425.176025390625,368.7321472167969,378.4738464355469,478.3299865722656,54.32959747314453,158.58303833007812,144.51039123535156,233.94000244140625,527.0994262695312,261.677490234375,52.853267669677734,93.72530364990234
2024-01-11,184.2407684326172,597.489990234375,155.17999267578125,31.936420440673828,269.4492492675781,48.572540283203125,88.64642333984375,141.2329864501953,343.67578125,47.01039505004883,153.64707946777344,165.47470092773438,57.61228942871094,423.6372375488281,367.9359130859375,380.3129577636719,492.2300109863281,54.80141830444336,157.83248901367188,145.05975341796875,227.22000122070312,529.0994873046875,261.15325927734375,52.79428482055664,93.70630645751953
2024-01-12,184.56837463378906,596.5399780273438,154.6199951171875,31.5992374420166,269.995361328125,48.47623825073242,89.538330078125,141.799560546875,342.8852844238281,46.49726867675781,154.829345703125,164.26011657714844,58.170982360839844,426.0000305175781,372.7332763671875,384.10980224609375,492.1600036621094,54.689456939697266,158.91554260253906,145.14649963378906,218.88999938964844,511.28564453125,261.2917785644531,52.863094329833984,94.92190551757812
2024-01-16,182.2950439453125,597.6799926757812,153.16000366210938,30.944128036499023,267.2748718261719,48.71699142456055,92.21408081054688,141.64053344726562,345.5072326660156,46.43806838989258,153.04641723632812,163.2301483154297,57.78567886352539,425.25543212890625,365.73626708984375,385.8896179199219,481.239990234375,56.360836029052734,157.87049865722656,144.36582946777344,219.91000366210938,508.971923828125,262.3500671386719,53.03022003173828,92.7756118774414
2024-01-17,181.3519287109375,596.0999755859375,151.7100067138672,30.635845184326172,269.50885009765625,48.437721252441406,89.5284194946289,140.6266326904297,342.8757019042969,45.45127868652344,152.9605712890625,162.35565185546875,57.78567886352539,424.3321838378906,366.6419982910156,385.0986328125,480.3299865722656,56.031959533691406,158.1269989013672,144.51039123535156,215.5500030517578,514.6484375,263.7249450683594,52.78117752075195,92.10132598876953
2024-01-18,187.25869750976562,593.7000122070312,153.5,30.568408966064453,272.50738525390625,48.871070861816406,91.38162994384766,142.62461853027344,344.9963684082031,46.122291564941406,153.70428466796875,162.67630004882812,57.949432373046875,427.60833740234375,374.3656005859375,389.4492492675781,485.30999755859375,57.0855598449707,158.82054138183594,143.67727661132812,211.8800048828125,506.21697998046875,265.218505859375,53.492271423339844,91.93038940429688
2024-01-19,190.16738891601562,611.5499877929688,155.33999633789062,31.040470123291016,278.8816833496094,49.37181091308594,92.22398376464844,145.50733947753906,349.3437805175781,47.51365661621094,154.1523895263672,165.4844207763672,57.63155746459961,433.62457275390625,381.6512756347656,394.1953430175781,482.95001220703125,59.46866989135742,157.4999542236328,143.1244354248047,212.19000244140625,493.6875305175781,267.9483947753906,53.21044921875,92.07282257080078
