Ticker,Rentabilidad_Diaria,Rentabilidad_Anualizada,Volatilidad_Diaria,Volatilidad_Anualizada,Ratio_Sharpe_Aprox
NVDA,0.0047453008851116,1.1958158230481233,0.03309747065731912,0.5254060583071433,2.275984077726546
TSLA,0.0028616135535253,0.7211266154883756,0.04009600029894503,0.6365042721562801,1.1329485865749511
NFLX,0.0027871518118829,0.7023622565944908,0.018608013574538257,0.29539305786685377,2.3777209311096112
META,0.0024133343348514,0.6081602523825528,0.023012378603781924,0.36531018517002456,1.664777706921858
WMT,0.0022474246677758,0.5663510162795016,0.011170507788704147,0.1773263137633273,3.1938351633215314
AMZN,0.0017152739699236,0.4322490404207472,0.017729783120926774,0.28145158162249717,1.5357847269108982
JPM,0.0015234397913272,0.3839068274144544,0.014845060286250104,0.2356580262910746,1.6290844553720794
GOOGL,0.0014712152770457,0.3707462498155164,0.017707541383825708,0.2810985049919242,1.3189193226985243
CRM,0.0013710681541358,0.3455091748422216,0.02265558955927874,0.3596463346764179,0.9606914947515987
AAPL,0.0013450283888366,0.3389471539868232,0.014141432541570886,0.22448828212315583,1.5098656855544665
BAC,0.0012379764150852,0.31197005660147037,0.014369584769766313,0.22811008646437797,1.367629382097438
DIS,0.0009686176148703,0.24409163894731561,0.016329114086878687,0.25921665002329536,0.9416510819246353
MA,0.000952279624951,0.239974465487652,0.010010362072672497,0.15890957146802706,1.510132229737561
V,0.0008766252045842,0.22090955155521838,0.01067024046050041,0.16938481612646042,1.3041874508414633
CSCO,0.0008271173822174,0.2084335803187848,0.011397161905285894,0.1809243363199534,1.1520483344495074
HD,0.0006643103409375,0.16740620591625,0.012956164315884543,0.20567273235071878,0.8139445808051227
MSFT,0.0006527091922497,0.16448271644692442,0.012580777624773437,0.19971365336973834,0.8235927472740714
PG,0.0006082331657453,0.1532747577678156,0.00943409916903992,0.14976168147120442,1.0234577781318959
XOM,0.0003370807808971,0.0849443567860692,0.01203341949098842,0.19102461236923687,0.4446775508795581
KO,0.0002976185406538,0.0749998722447576,0.008034493676906293,0.12754363307648994,0.5880330553213815
UNH,-3.061761964859056e-05,-0.00771564015144482,0.01719550940574021,0.272970249327964,-0.02826549842131241
JNJ,-0.0002699666226074,-0.0680315888970648,0.009454616748533533,0.150087387948275,-0.4532798513390792
PEP,-0.0003441754918707,-0.0867322239514164,0.01027514061488698,0.16311280051926152,-0.531731560461893
ADBE,-0.000781274209297,-0.19688110074284398,0.02310693131697933,0.36681116295946503,-0.5367369388499242
INTC,-0.0029130685081465,-0.7340932640529181,0.03222404449744476,0.5115408478615091,-1.4350628441927695
