Date,AAPL,ADBE,AMZN,BAC,CRM,CSCO,DIS,GOOGL,HD,INTC,JNJ,JPM,KO,MA,META,MSFT,NFLX,NVDA,PEP,PG,TSLA,UNH,V,WMT,XOM
2025-01-02,243.26319885253906,441.0,220.22000122070312,43.7544059753418,330.1412658691406,58.310691833496094,110.81999969482422,188.98329162597656,383.62628173828125,20.219999313354492,141.66188049316406,237.30517578125,61.386993408203125,520.80517578125,598.7073364257812,416.97686767578125,886.72998046875,138.29727172851562,147.27755737304688,163.95205688476562,379.2799987792969,502.3630676269531,313.3514404296875,89.53704071044922,105.38800811767578
2025-01-03,242.7743682861328,430.57000732421875,224.19000244140625,44.26811981201172,332.37774658203125,58.46963119506836,111.16000366210938,191.3377227783203,384.3373107910156,20.559999465942383,141.8291015625,240.54833984375,61.29765319824219,519.768310546875,604.092529296875,421.7286071777344,881.0499877929688,144.4567108154297,146.72848510742188,163.11244201660156,410.44000244140625,510.81695556640625,313.8597717285156,90.31302642822266,105.92816162109375
2025-01-06,244.41041564941406,431.17999267578125,227.61000061035156,44.850982666015625,330.011474609375,58.38022994995117,111.05000305175781,196.40576171875,384.52496337890625,19.8700008392334,141.30776977539062,239.3755645751953,60.364540100097656,510.3670959472656,629.6398315429688,426.21136474609375,881.7899780273438,149.41624450683594,143.4144744873047,158.63780212402344,411.04998779296875,511.48406982421875,311.9960021972656,90.95968627929688,105.81031036376953
2025-01-07,241.62713623046875,422.6300048828125,222.11000061035156,45.522762298583984,324.4202575683594,58.53916931152344,111.38999938964844,195.02902221679688,379.44891357421875,20.010000228881836,143.83567810058594,241.6813507080078,60.394317626953125,509.8387145996094,617.3407592773438,420.7523498535156,879.1900024414062,140.12710571289062,142.5614471435547,159.32925415039062,394.3599853515625,512.0616455078125,310.63055419921875,90.3428726196289,106.80221557617188
2025-01-08,242.11595153808594,419.5799865722656,222.1300048828125,45.651187896728516,326.38714599609375,58.807376861572266,109.76000213623047,193.49264526367188,382.3819580078125,19.8799991607666,139.94053649902344,241.6416015625,61.2579460144043,514.823486328125,610.1771240234375,422.9339599609375,875.0,140.0971221923828,143.67919921875,160.11947631835938,394.94000244140625,522.2879638671875,311.5574645996094,91.32778930664062,105.01481628417969
2025-01-10,236.28004455566406,405.9200134277344,218.94000244140625,44.564491271972656,317.35137939453125,58.35042953491211,108.6500015258789,191.58712768554688,385.03851318359375,19.149999618530273,139.7339630126953,238.40155029296875,60.62263488769531,503.8708190917969,615.3125610351562,417.345458984375,837.6900024414062,135.8975067138672,139.85533142089844,156.6227264404297,394.739990234375,518.4742431640625,306.6837463378906,92.5216064453125,104.63180541992188
2025-01-13,233.83592224121094,408.5,218.4600067138672,44.51509475708008,318.5694580078125,58.37029266357422,108.08000183105469,190.5595703125,384.3373107910156,19.200000762939453,142.10450744628906,242.71499633789062,61.198387145996094,504.1104431152344,607.789306640625,415.5921936035156,840.2899780273438,133.21774291992188,141.6790313720703,156.89930725097656,403.30999755859375,538.8372192382812,305.89642333984375,91.05917358398438,107.33255004882812
2025-01-14,232.71861267089844,412.7099914550781,217.75999450683594,45.22639083862305,323.0324401855469,58.93651580810547,108.12000274658203,189.2127685546875,387.8925476074219,19.200000762939453,142.37991333007812,245.9550323486328,61.58552932739258,508.21392822265625,593.7218017578125,414.0780334472656,828.4000244140625,131.7478790283203,142.1202392578125,157.78829956054688,396.3599853515625,541.4261474609375,308.05914306640625,90.32298278808594,107.75484466552734
2025-01-15,237.2975616455078,417.2799987792969,223.35000610351562,46.530426025390625,320.6561584472656,59.58220291137695,108.18000030517578,195.0888671875,401.0368957519531,19.719999313354492,142.59632873535156,250.80516052246094,61.3175048828125,521.5227661132812,616.5714721679688,424.67724609375,848.260009765625,136.22747802734375,141.9535675048828,157.69940185546875,428.2200012207031,541.1074829101562,315.22515869140625,90.87014770507812,109.51278686523438
2025-01-16,227.710693359375,426.92999267578125,220.66000366210938,46.07598876953125,319.49798583984375,59.42326354980469,106.45999908447266,192.45509338378906,404.236572265625,19.670000076293945,145.35047912597656,252.71340942382812,61.79399108886719,522.3115844726562,610.756591796875,422.953857421875,842.3699951171875,133.55772399902344,143.67919921875,158.53903198242188,413.82000732421875,508.4172058105469,316.19195556640625,90.83036041259766,109.32618713378906
2025-01-17,229.4265594482422,429.989990234375,225.94000244140625,45.96731948852539,324.05084228515625,59.830543518066406,107.0199966430664,195.53781127929688,404.2859802246094,21.489999771118164,144.62258911132812,257.573486328125,62.25061798095703,523.8690795898438,612.225341796875,427.3868408203125,858.0999755859375,137.6973419189453,145.35581970214844,159.16131591796875,426.5,507.5907287597656,318.5540466308594,91.46707153320312,110.30827331542969
2025-01-21,222.10421752929688,436.3599853515625,230.7100067138672,46.09574890136719,326.3272399902344,60.625240325927734,108.69999694824219,197.58297729492188,413.2233581542969,21.770000457763672,145.7242431640625,261.4197692871094,61.96274185180664,527.2237548828125,615.9120483398438,426.85888671875,869.6799926757812,140.81704711914062,145.6499481201172,159.74411010742188,424.07000732421875,522.7559204101562,322.5506896972656,92.60120391845703,109.47350311279297
2025-01-22,223.29136657714844,437.32000732421875,235.00999450683594,45.23626708984375,332.0981750488281,61.22126007080078,108.80999755859375,197.9022216796875,404.9970397949219,21.860000610351562,142.89141845703125,261.2309265136719,61.327430725097656,526.3451538085938,622.94580078125,444.4910888671875,953.989990234375,147.05648803710938,145.19894409179688,162.7272186279297,415.1099853515625,517.50830078125,322.48089599609375,92.75043487548828,107.56824493408203
