Lambda,Rentabilidad_Anual,Volatilidad_Anual,Sharpe_Anual,Valor_Objetivo,Cardinalidad
0.1,0.7519581830737867,0.19411869457662198,3.873703069731782,-0.0002236300972829871,5
0.5,1.1921298059943823,0.5225191823200886,2.28150438554445,-0.0018236180755990643,5
1.0,1.1937832934907322,0.5242363276951463,2.277185365499776,-0.004191950118464626,5
2.0,1.1945193145785735,0.5245785245605112,2.2771029667661957,-0.008934314741833753,5
5.0,1.1902496285898194,0.5217133654881946,2.281424451290491,-0.0230760147820817,5
10.0,1.1949175771679525,0.5247576164660994,2.277084771470196,-0.04687099402246006,5
